sample,trt,block,pot,days,no3,nh4,faa,tdn,doc,din,don,doc_don,don_din
15NSS_404,H,2,19,35,0.58,0.1,0.168,14.52,224.25,0.6799999999999999,13.84,16.203034682080926,20.35294117647059
15NSS_405,H,3,29,35,0.62,0.1,0.093,4.97,96.73,0.72,4.25,22.76,5.902777777777778
15NSS_406,H,4,47,35,0.34,0.1,0.114,5.45,116.55,0.44000000000000006,5.01,23.263473053892216,11.386363636363635
15NSS_407,H,5,59,35,0.58,0.11,0.147,12.13,212.23,0.69,11.440000000000001,18.551573426573423,16.57971014492754
15NSS_408,H,6,65,35,1.23,0.1,0.13,35.21,137.55,1.33,33.88,4.059917355371901,25.473684210526315
15NSS_409,I,1,3,35,0.66,0.1,0.105,8.79,140.33,0.76,8.03,17.475716064757165,10.565789473684209
15NSS_410,I,2,20,35,0.42,0.1,0.073,4.49,86.22,0.52,3.97,21.717884130982366,7.634615384615385
15NSS_411,I,3,25,35,2.04,0.1,0.094,8.81,109.61,2.14,6.67,16.43328335832084,3.116822429906542
15NSS_412,I,4,48,35,2.44,0.1,0.066,5.45,77.9,2.54,2.91,26.769759450171822,1.1456692913385826
15NSS_413,I,5,50,35,0.94,0.1,0.153,10.7,177.99,1.04,9.66,18.425465838509318,9.288461538461538
15NSS_414,I,6,72,35,0.94,0.11,0.111,9.64,144.35,1.05,8.59,16.80442374854482,8.18095238095238
15NSS_415,J,1,12,35,1.01,0.1,0.105,9.27,129.43,1.11,8.16,15.861519607843137,7.351351351351351
15NSS_416,J,2,18,35,0.82,0.1,0.092,9.27,129.43,0.9199999999999999,8.35,15.500598802395212,9.07608695652174
15NSS_417,J,3,36,35,0.94,0.1,0.084,7.36,107.63,1.04,6.32,17.03006329113924,6.076923076923077
15NSS_418,J,4,46,35,0.22,0.1,0.049,3.06,76.71,0.32,2.74,27.9963503649635,8.5625
15NSS_419,J,5,60,35,0.78,0.1,0.105,11.27,149.2,0.88,10.389999999999999,14.359961501443696,11.80681818181818
15NSS_420,J,6,69,35,1.89,0.1,0.133,12.59,152.11,1.99,10.6,14.350000000000001,5.326633165829145
15NSS_421,K,1,5,35,0.94,0.1,0.124,13.09,180.96,1.04,12.05,15.017427385892116,11.586538461538462
15NSS_422,K,2,21,35,3.15,0.11,0.135,15.48,177,3.26,12.22,14.48445171849427,3.748466257668712
15NSS_423,K,3,33,35,0.9,0.1,0.108,11.18,163.12,1,10.18,16.023575638506877,10.18
15NSS_424,K,4,37,35,1.05,0.1,0.05,3.7,49.06,1.1500000000000001,2.55,19.239215686274513,2.2173913043478257
15NSS_425,K,5,52,35,9.89,0.1,0.147,17.39,114.57,9.99,7.4,15.48243243243243,0.7407407407407408
15NSS_426,K,6,66,35,0.74,0.11,0.065,4.23,74.57,0.85,3.3800000000000003,22.06213017751479,3.9764705882352946
15NSS_427,L,1,4,35,0.38,0.1,0.16,21.21,330.46,0.48,20.73,15.94114809454896,43.1875
15NSS_428,L,2,16,35,0.58,0.1,0.096,7.83,126.46,0.6799999999999999,7.15,17.686713286713285,10.514705882352942
15NSS_429,L,3,34,35,0.22,0.1,0.073,6.75,113.57,0.32,6.43,17.662519440124417,20.09375
15NSS_430,L,4,45,35,0.42,0.1,0.086,7.83,167.09,0.52,7.3100000000000005,22.857729138166892,14.057692307692308
15NSS_431,L,5,49,35,0.22,0.1,0.046,1.15,45.59,0.32,0.8299999999999998,54.92771084337351,2.5937499999999996
15NSS_432,L,6,67,35,0.42,0.1,0.082,6.69,118.14,0.52,6.17,19.147487844408428,11.865384615384615
15NSS_433,A,1,11,42,0.08,0.13,0.087,9.89,133.69,0.21000000000000002,9.68,13.810950413223141,46.09523809523809
15NSS_434,A,2,24,42,0.08,0.13,0.07,3.6,61.32,0.21000000000000002,3.39,18.088495575221238,16.142857142857142
15NSS_435,A,3,30,42,0.08,0.12,0.039,2.91,59.24,0.2,2.71,21.85977859778598,13.549999999999999
15NSS_436,A,4,42,42,0.08,0.13,0.092,7.93,121.74,0.21000000000000002,7.72,15.76943005181347,36.76190476190476
15NSS_437,A,5,53,42,0.08,0.12,0.056,4.98,65.69,0.2,4.78,13.742677824267782,23.9
15NSS_438,A,6,68,42,0.08,0.12,0.053,4.59,75.22,0.2,4.39,17.134396355353076,21.949999999999996
15NSS_439,B,1,9,42,0.08,0.13,0.12,12.75,179.9,0.21000000000000002,12.54,14.346092503987242,59.7142857142857
15NSS_440,B,2,13,42,0.08,0.12,0.311,60.25,742.62,0.2,60.05,12.366694421315572,300.24999999999994
15NSS_441,B,3,28,42,0.08,0.13,0.105,11.27,156.72,0.21000000000000002,11.059999999999999,14.169981916817362,52.66666666666666
15NSS_442,B,4,38,42,0.08,0.13,0.119,11.66,160.93,0.21000000000000002,11.45,14.055021834061137,54.52380952380952
15NSS_443,B,5,58,42,0.08,0.13,0.149,17.13,211.02,0.21000000000000002,16.919999999999998,12.471631205673761,80.57142857142856
15NSS_444,B,6,70,42,0.08,0.13,0.051,5.27,64.02,0.21000000000000002,5.06,12.652173913043478,24.09523809523809
15NSS_445,C,1,10,42,0.08,0.13,0.109,10.58,155.03,0.21000000000000002,10.37,14.949855351976858,49.38095238095237
15NSS_446,C,2,15,42,0.08,0.12,0.062,5.07,76.13,0.2,4.87,15.632443531827514,24.349999999999998
15NSS_447,C,3,32,42,0.08,0.13,0.161,24.15,309.86,0.21000000000000002,23.939999999999998,12.943191311612367,113.99999999999997
15NSS_448,C,4,40,42,0.08,0.13,0.066,5.66,83.17,0.21000000000000002,5.45,15.260550458715596,25.95238095238095
15NSS_449,C,5,55,42,0.08,0.12,0.084,5.65,85.46,0.2,5.45,15.680733944954127,27.25
15NSS_450,C,6,64,42,0.08,0.13,0.184,6.14,81.93,0.21000000000000002,5.93,13.816188870151773,28.238095238095234
15NSS_451,D,1,6,42,0.08,0.13,0.063,5.86,89,0.21000000000000002,5.65,15.75221238938053,26.904761904761905
15NSS_452,D,2,22,42,0.08,0.12,0.068,5.27,84.95,0.2,5.069999999999999,16.755424063116372,25.349999999999994
15NSS_453,D,3,26,42,0.08,0.12,0.038,3.3,48.75,0.2,3.0999999999999996,15.725806451612906,15.499999999999998
15NSS_454,D,4,43,42,0.08,0.12,0.058,4.58,65.85,0.2,4.38,15.034246575342465,21.9
