Genus	Species	Identifier	Year	crown.mm	diam.1	diam.2	leaves	stem.biomass	leafy.biomass	leaf.area.1	leaf.area.2		
Shorea	macroptera	134	2004	510	3.9	4	10	1.19	1.73	33	18.04		
Shorea	macroptera	135	2004	739	4.9	4.9	7	3.34	1.76	29.15	26.78		
Shorea	macroptera	136	2004	605	3.8	4	12	4.37	3.38	45.76	25.12		
Shorea	macroptera	137	2004	519	4.3	4.4	6	1.85	1.17	37.1	32.47		
Shorea	macroptera	138	2004	732	5.5	5.7	8	4.88	3.03	74.78	44.69		
Shorea	macroptera	139	2004	594	3.3	3.1	8	1.42	1.88	71.54	25.49		
Shorea	macroptera	140	2004	432	6.2	6.5	4	2.78	0.92	23.13	51.96		
Shorea	parvifolia	141	2004	275	3.5	3.2	10	0.41	0.86	19.38	26.2		
Shorea	parvifolia	142	2004	695	3.7	3.6	7	1.98	0.78	23.52	49.93		
Shorea	parvifolia	143	2004	356	2.6	2.8	7	0.44	0.68	27.24	27.37		
Shorea	parvifolia	144	2004	805	3.6	4.6	16	2.99	2.46	26.18	34.71		
Shorea	parvifolia	145	2004	585	4	4.3	11	1.39	1.11	13.01	38.2		
Shorea	parvifolia	146	2004	1000	5.2	5.1	22	5.99	3.63	35.45	28.42		
Shorea	parvifolia	147	2004	845	4.6	4.9	13	3.55	1.66	23.95	46.22		
Shorea	parvifolia	148	2004	741	4.5	4.6	10	2.73	1.72	35.54	56.19		
Shorea	parvifolia	149	2004	814	4.6	4.9	18	3.66	2.93	31.03	45.97		
Shorea	parvifolia	150	2004	830	4	3.8	15	2.58	1.57	36.29	12.58		
Shorea	beccariana	151	2004	175	0.9	1.1	4	0.15	0.32	19.67	2.67		
Shorea	beccariana	152	2004	334	4.1	4.7	5	0.98	0.81	15.92	72.85		
Shorea	beccariana	153	2004	545	4.3	4.5	11	1.92	0.88	25.67	107.16		
Shorea	beccariana	154	2004	641	5.1	5.3	8	3.22	2.8	64	94.42		
Shorea	beccariana	155	2004	550	4.3	4.5	8	2.04	2.36	53.4	80.2		
Shorea	beccariana	156	2004	504	4.9	4.6	7	1.82	1.73	63.94	53.94		
Shorea	beccariana	157	2004	425	2.9	3	9	0.78	0.98	62.41	25.09		
Shorea	beccariana	158	2004	403	3.4	3.7	10	1.18	1.12	10.86	45.9		
Shorea	beccariana	159	2004	267	3.8	4.1	5	1.02	0.77	29.31	12.59		
Shorea	beccariana	160	2004	332	2.8	3.1	7	0.76	1.1	20.42	57.51		
Shorea	macrophylla	161	2004	655	8.5	7.5	5	5.23	2.71	87.15	58.33		
Shorea	macrophylla	162	2004	442	6.9	6.8	7	3.93	3.46	96.01	85.73		
Shorea	macrophylla	163	2004	903	8.1	9.9	8	10.02	6.24	130.23	146.41		
Shorea	macrophylla	164	2004	612	6.2	6.5	6	5.34	2.56	65.15	67.46		
Shorea	macrophylla	165	2004	492	6	7.9	8	2.75	3.05	105.58	51.72		
Shorea	macrophylla	166	2004	443	7.5	5.9	6	2.99	2.08	17.43	146.05		
Shorea	macrophylla	167	2004	725	7.9	7.1	5	6.45	2.05	48.85	73.18		
Shorea	macrophylla	168	2004	742	7.4	6.1	7	4.67	2.78	35.53	96.16		
Shorea	macrophylla	169	2004	749	8	8.5	6	10.42	4.76	95.64	63.43		
Shorea	macrophylla	170	2004	421	7.4	7.3	9	4.07	2.41	15.71	77.85		
Shorea	argentifolia	171	2004	832	5.4	5.9	51	5.05	3.87	11.87	30.73		
Shorea	argentifolia	172	2004	950	5.4	5.3	38	6.07	3.76	20.21	18.32		
Shorea	argentifolia	173	2004	724	5.7	6.8	26	3.78	2.26	14.05	22.42		
Shorea	argentifolia	174	2004	846	4.7	4.5	38	3.3	2.62	18.99	30.8		
Shorea	argentifolia	175	2004	859	5	4.9	27	3.4	1.26	12.93	16.62		
Shorea	argentifolia	176	2004	462	4	3.3	12	0.84	0.72	23.51	6.99		
Shorea	argentifolia	177	2004	530	2.9	2.8	13	0.65	0.74	29.25	10.43		
Shorea	argentifolia	178	2004	244	2.2	2.1	5	0.2	0.18	8.57	4.48		
Shorea	argentifolia	179	2004	234	2.2	2.3	8	0.26	0.23	7.29	4.34		
Shorea	argentifolia	180	2004	291	2	2.2	5	0.25	0.18	3.64	10.92		
Shorea	faguetiana	181	2004	815	6.2	6.5	17	5.98	5.35	48.86	20.56		
Shorea	faguetiana	182	2004	513	3.6	4.1	6	1.65	1.5	38.73	46.79		
Shorea	faguetiana	183	2004	754	4.7	4.9	14	3.88	3.71	56.19	43.65		
Shorea	faguetiana	184	2004	711	5	5.5	17	4.02	3.7	40.77	33.65		
Shorea	faguetiana	185	2004	583	5.1	5.3	12	4.1	3.9	68.3	49.15		
Shorea	faguetiana	186	2004	739	5.2	5.1	6	4.45	2.23	91.84	50.84		
Shorea	faguetiana	187	2004	580	3.9	4.2	7	1.8	1.9	49.84	39.48		
Shorea	faguetiana	188	2004	358	3.9	4.2	7	1.19	1.97	44.2	62.19		
Shorea	faguetiana	189	2004	285	3.4	3.7	4	0.7	0.68	7.3	56.18		
Shorea	faguetiana	190	2004	330	3	3.2	3	0.75	0.32	31.67	26.72		
Shorea	gibbosa	191	2004	780	5.2	5.5	14	4.88	4.26	23.31	101.86		
Shorea	gibbosa	192	2004	557	4.8	4.9	9	3.65	3.33	56.98	39.8		
Shorea	gibbosa	193	2004	372	3.7	4	6	1.08	1.16	41.53	17.81		
Shorea	gibbosa	194	2004	257	2.8	3	7	0.67	1.28	30.8	17.47		
Shorea	gibbosa	195	2004	577	4.9	5.2	12	3.55	3.71	39.9	59		
