Site	SiteName	Latitude	Longitude	Carbon1m	Nitrogen1m	Clay	EM	NetPrimProduction	Temperature	Precipitation	Biome
175	BT51	8.77861	-82.19806	9.19	0.74	25.1	0	781.6	21.55833	3338	tropicalforest
176	BT52	8.73111	-82.24805	32.35	2.64	44.5	0	799.8	20.45833	3053	tropicalforest
177	BT53	8.73111	-82.24805	13.34	0.98	24.7	0	799.8	20.45833	3053	tropicalforest
178	BT54	8.77944	-82.18222	12.41	0.86	33.8	0	791.3	21.55833	3338	tropicalforest
179	BT55	8.77944	-82.18222	19.22	1.92	54.4	0	791.3	21.55833	3338	tropicalforest
180	BT56	-43.8225	169.0778	6.93	0.45	1.0	0	444.3	11.925	4805	temperateforest
181	BT57	-43.8225	169.0778	8.80	0.53	1.4	0	444.3	11.925	4805	temperateforest
182	BT58	-43.8225	169.0778	8.26	0.40	0.9	0	444.3	11.925	4805	temperateforest
183	BT59	-43.8225	169.0778	8.67	0.43	1.2	0	444.3	11.925	4805	temperateforest
184	BT6	9.2096	-79.3713	15.02	1.51	50.9	0	966.9	23.01667	3412	tropicalforest
185	BT60	-43.8225	169.0778	7.65	0.30	2.0	0	444.3	11.925	4805	temperateforest
186	BT61	-43.8225	169.0778	9.81	0.33	3.3	0	444.3	11.925	4805	temperateforest
187	BT62	-43.8225	169.0778	13.41	0.46	2.3	0	444.3	11.925	4805	temperateforest
188	BT63	-43.8225	169.0778	14.94	0.45	1.8	0	444.3	11.925	4805	temperateforest
189	BT64	-43.8225	169.0778	9.36	0.39	4.5	0	444.3	11.925	4805	temperateforest
190	BT65	-43.8225	169.0778	9.52	0.54	1.3	0	444.3	11.925	4805	temperateforest
191	BT66	4.1865	114.017	10.97	0.92	24.7	1	1024.9	26.45	2932	tropicalforest
192	BT67	4.1865	114.017	6.67	0.75	25.0	1	1024.9	26.45	2932	tropicalforest
193	BT68	4.1865	114.017	7.23	0.56	16.2	1	1024.9	26.45	2932	tropicalforest
194	BT69	4.1865	114.017	5.82	0.78	21.8	1	1024.9	26.45	2932	tropicalforest
195	BT7	9.0841	-79.6634	9.88	0.89	45.4	0	916.8	25.975	2286	tropicalforest
196	BT70	-3.808550434	-70.26815669	9.06	1.45	68.5	0	962.5	25.925	2786	tropicalforest
197	BT71	-3.806478816	-70.26841478	8.20	1.37	40.5	0	959.5	25.925	2786	tropicalforest
198	BT72	-3.808550434	-70.26815669	9.05	1.40	45.2	0	962.5	25.925	2786	tropicalforest
